,Prop_Addr,reverse_lookup_rd,Lat,Long
92,1904 KETELSEN DR,Mcfarland Avenue,42.0748755, -93.6352983
93,1910 KETELSEN DR,Mcfarland Avenue,42.0748755, -93.6352983
872,3908 STONE BROOKE CIR,Stonebrooke Circle,42.059579, -93.632653
873,3906 STONE BROOKE CIR,Stonebrooke Circle,42.059406, -93.632774
905,1606 STONE BROOKE RD,Stonebrooke Circle,42.058851, -93.632977
966,4002 EDGEWATER DR,Adams Street,42.060093333333334, -93.62903433333334
1022,3811 HOOVER AVE,Edgewater Drive,42.05782742605607, -93.62985899498922
1620,704 TOP O HOLLOW RD,Top-O-Hollow Road,42.05663491840557, -93.62176390413987
1961,1102 JOHNSON ST,Kennedy Street,42.05044835386148, -93.62567184928429
2368,2701 DANBURY RD,Milstead Road,42.061061, -93.647963
2509,4107 BRICKMAN AVE,Lakeside Drive,42.06191165554203, -93.64301795113275
4546,2719 NORTHRIDGE CIR,North Ridge Circle,42.048697, -93.650541
6079,1301 RIDGEWOOD AVE 1303,13th Street,42.034719, -93.627894
7969,1125 KELLOGG AVE 1127,12th Street,42.033025, -93.614303
8427,617 DOUGLAS AVE,6th Street,42.02719739136952, -93.61222771092947
9482,102 N RIVERSIDE DR,Lincoln Way,42.022973, -93.629559
10580,4101 TRAIL RIDGE CIR,Trailridge Circle,42.024549, -93.674567
10806,3203 WOODLAND ST,Forest Glen,42.02646519843427, -93.6602561771226
11278,621 WILDER AVE,Westfield Drive,42.028114, -93.693067
11371,5116 SPRINGBROOK CIR,6th Street,42.0267567, -93.6170448
11373,5122 SPRINGBROOK CIR,6th Street,42.0267567, -93.6170448
11680,601 CHELSEA CT,Delaware Avenue,42.027877, -93.67912
14469,4205 COCHRANE PKWY,Cochran Parkway,42.017364, -93.675727
14470,4139 COCHRANE PKWY,Cochran Parkway,42.017381, -93.675153
14486,4310 COCHRANE PKWY,Cochran Parkway,42.016309, -93.677193
14980,926 SOUTH DAKOTA AVE D-1,Mortensen Road,42.013495, -93.677092
14985,936 SOUTH DAKOTA AVE D-6,Mortensen Road,42.013323, -93.676895
17204,504 STANTON AVE,Baker Street,42.01779981632653, -93.64839271428572
17384,620 ASH AVE,Hughes Street,42.0162583255814, -93.644185
17556,1505 LITTLE BLUESTEM CT UNIT 119,Mortensen Parkway,42.009922, -93.646036
17560,1505 LITTLE BLUESTEM CT UNIT 114,Mortensen Parkway,42.009922, -93.646036
17588,1517 LITTLE BLUESTEM CT UNIT A2,Mortensen Parkway,42.010628, -93.646355
17609,1518 LITTLE BLUESTEM CT,Little Blue Stem Court,42.00945, -93.646957
17626,1535 LITTLE BLUESTEM CT APT 42,Little Blue Stem Court,42.010435, -93.647605
18732,121 KINGSBURY AVE,East Lincoln Way,42.02258132931351, -93.6066281422604
